,...1,baseMean,log2FoldChange,lfcSE,pvalue,padj,regulate,Cluster
5181,PF3D7_0712500,2.37891144958773,0.141744179079689,0.440032562066254,0.200062219957995,0.41024843443048,Normal,GroupA
5182,PF3D7_0712200,3.30706876395231,0.151898641104381,0.403135912916201,0.333384349266271,0.557586769509406,Normal,GroupB
5183,PF3D7_0711400,739.639755637082,0.261822367370263,0.155926566456373,0.048438698976516,0.158733938106507,Normal,GroupC
5184,PF3D7_0701500,14.0546560396423,-0.257364816210444,0.406232435649465,0.150068264322597,0.340950073335439,Normal,GroupD
5185,PF3D7_0700800,87.5964609539562,-0.602137207294854,0.281900180931251,0.003711824138733,0.024137970147691,Normal,GreopE
5186,PF3D7_0937500,133.47850284749,0.905898412320392,0.300038553335496,6.56708967685879E-05,0.001051896665054,Normal,GroupA
5187,PF3D7_0937400,3.08034968222314,0.108783399070431,0.409764220318655,0.442854296044757,0.653541029617047,Normal,GroupB
5188,PF3D7_0935900,45638.7153307839,-0.3110167177657,0.271717260562443,0.103411190099196,0.266503446719807,Normal,GroupC
5189,PF3D7_0935500,689.822982907073,0.078201041044246,0.186608379645819,0.599089974524965,0.770136970092463,Normal,GroupD
5190,PF3D7_0934100,1017.16954559623,0.127086464160597,0.114839845006717,0.186979822287269,0.39291812500769,Normal,GreopE
5191,PF3D7_0931200,201.108000269817,0.345064897914481,0.26935118762056,0.072048350525917,0.209658383363199,Normal,GroupA
5192,PF3D7_0929000,1173.25779380414,0.338834425978636,0.115264054162246,0.001693908408143,0.013196445704756,Normal,GroupB
5193,PF3D7_0924300,142.98965364414,0.315161570214693,0.258480386369027,0.091954888379286,0.246332039417622,Normal,GroupC
5194,PF3D7_0922200,10508.2884950964,0.413226883964017,0.206140487048343,0.014112670798867,0.064668187711266,Normal,GroupD
5195,PF3D7_0919000,4532.12771962178,-0.22413844747953,0.164417155815031,0.100451011307371,0.261355530138488,Normal,GreopE
5196,PF3D7_0918600,102.694997250119,0.461877684609359,0.203411767029752,0.006136536878849,0.03537303105324,Normal,GroupA
5197,PF3D7_0916500,191.238206691213,-0.052825847763137,0.184487086534809,0.720341048317451,0.848797395178039,Normal,GroupB
5198,PF3D7_0915400,12314.2631403181,-0.036103635826067,0.148380867528143,0.770183066971782,0.879700053356495,Normal,GroupC
5199,PF3D7_0910800,491.825005186661,-0.060912103063173,0.156395448600815,0.637032865868543,0.797024991167324,Normal,GroupD
5200,PF3D7_0904700,62.6026930872507,0.014984423357523,0.281315692882973,0.934668826633617,0.96770993486172,Normal,GreopE
5201,PF3D7_0904400,107.147969455501,0.078787866957434,0.22938009812627,0.643258777276084,0.80167435405305,Normal,GroupA
5202,PF3D7_0902300,3345.07480906068,-0.115770350272005,0.095238391305238,0.146848534351899,0.336025091247709,Normal,GroupB
5203,PF3D7_0902000,244.419427008586,0.549739141125254,0.173635435614262,0.000316299793462,0.003783057001094,Normal,GroupC
5204,PF3D7_1136300,3791.23745652382,0.086056398574804,0.237057721279233,0.619093565336279,0.787045557201653,Normal,GroupD
5205,PF3D7_1132600,1484.64967833156,0.096250770936933,0.092086270303149,0.208114847481455,0.422142682715567,Normal,GreopE
5206,PF3D7_1132200,5451.5792716178,-0.071577210862412,0.167869080119316,0.601125024333113,0.771474564436021,Normal,GroupA
5207,PF3D7_1128700,140.630428345508,-0.170752465472614,0.205139390609353,0.285131159421447,0.505472476545366,Normal,GroupB
5208,PF3D7_1122100,66.8856168760408,-0.143712196822055,0.243439429850934,0.41497296552542,0.631177367731941,Normal,GroupC
5209,PF3D7_1121600,23752.2739029926,-0.118341513388591,0.215819255583727,0.472003762782998,0.677678591198223,Normal,GroupD
5210,PF3D7_1117800,664.83271210336,0.140799417947822,0.162455049242107,0.289758170613344,0.510839891698201,Normal,GreopE
5211,PF3D7_1116800,6425.67871308601,0.078691484500835,0.213932941865351,0.630056694148018,0.792969955130222,Normal,GroupA
5212,PF3D7_1116500,173.680762495553,0.148424084765396,0.191701506173306,0.328641776181731,0.553022183207989,Normal,GroupB
5213,PF3D7_1114700,2431.1832287749,0.050335275852882,0.110716764141529,0.590209708648478,0.764635230692377,Normal,GroupC
5214,PF3D7_1111300,142.521169426068,0.062103059493757,0.153458684722866,0.624776258284678,0.789960777196438,Normal,GroupD
5215,PF3D7_1106000,1591.43773440978,0.08294407816962,0.143896730480298,0.488023835669748,0.687907155058963,Normal,GreopE
5216,PF3D7_1105600,2511.32651561953,-0.016962430441727,0.151386216350944,0.892827618981232,0.949003793264235,Normal,GroupA
5217,PF3D7_1105500,129.015527600119,-0.060351020485466,0.174551445215284,0.669449721545035,0.819100090472203,Normal,GroupB
5218,PF3D7_1103400,332.496160248218,0.065089582866202,0.26988698328269,0.720261790339874,0.848797395178039,Normal,GroupC
5219,PF3D7_1100300,5089.90993586886,0.264896145096168,0.205524779672049,0.102732300785504,0.265348612281046,Normal,GroupD
5220,PF3D7_1372700,5.65560370854575,0.205987048392959,0.396850650780372,0.233043766737319,0.451950008213539,Normal,GreopE
5221,PF3D7_1367700,4584.97193914026,-0.144383144953425,0.100614550484735,0.092315705743783,0.246750681676793,Normal,GroupA
5222,PF3D7_1362100,65.834839652554,0.117494928816816,0.249075278325361,0.508310017462633,0.70175955055829,Normal,GroupB
5223,PF3D7_1360800,4894.17934184554,-0.398342915052523,0.148054256847342,0.002814175249405,0.019585842540067,Normal,GroupC
5224,PF3D7_1360200,483.866829316178,-0.02401909857318,0.224869370450854,0.886316915818789,0.945706593219891,Normal,GroupD
5225,PF3D7_1359400,2582.65133568904,0.513150093096834,0.18865228576542,0.001488877517958,0.012212394142766,Normal,GreopE
5226,PF3D7_1357800,7599.0623066155,-0.030740987628347,0.152632850196197,0.808303807205843,0.903243472914679,Normal,GroupA
5227,PF3D7_1355300,499.00563720094,0.147984189842211,0.225095528254915,0.381615452833972,0.602725976989082,Normal,GroupB
5228,PF3D7_1350200,277.232666840862,-0.146407286858109,0.210367527193191,0.366573222451933,0.586819751743514,Normal,GroupC
5229,PF3D7_1343000,9791.07312034571,-0.571865845927054,0.113553661963289,9.89660918305848E-08,4.75562724460244E-06,Normal,GroupD
5230,PF3D7_1341600,38.0067727551631,-0.655943914659433,0.340716707377568,0.003962402325643,0.02534257317814,Normal,GreopE
5231,PF3D7_1341500,96.9916217769184,-0.360310352974647,0.23105477394429,0.043118949193963,0.147162724150359,Normal,GroupA
5232,PF3D7_1340100,171.859185467129,0.211878101357839,0.214247380249101,0.1998143177287,0.409894879209234,Normal,GroupB
5233,PF3D7_1335000,195.398069036434,0.354653899342716,0.276844680741782,0.068237837532194,0.201814519498809,Normal,GroupC
5234,PF3D7_1331600,117.704167232321,-0.185050878569474,0.21607862557779,0.263756141604004,0.482706380035386,Normal,GroupD
5235,PF3D7_1331300,302.162476635088,-0.597918929728044,0.202599851107227,0.000465890281913,0.00506970787733,Normal,GreopE
5236,PF3D7_1327700,250.545601035273,0.184197226939775,0.163057457791085,0.169757876139821,0.369601149735054,Normal,GroupA
5237,PF3D7_1326800,223.478633975037,0.125719442289971,0.163760345032284,0.347587313118426,0.569007871640957,Normal,GroupB
5238,PF3D7_1325600,58.3974027788935,-0.424593197608695,0.333612571072691,0.043578106366606,0.14811037059924,Normal,GroupC
5239,PF3D7_1324800,634.943319518772,0.324504000682868,0.113833201537504,0.002299823961741,0.016584387931282,Normal,GroupD
5240,PF3D7_1320500,371.094485575659,0.024867115449901,0.119367858141222,0.805996231437251,0.902096578939629,Normal,GreopE
5241,PF3D7_1318200,12.8986988342986,-0.040399170637316,0.318704597021047,0.825053078040326,0.912022489753028,Normal,GroupA
5242,PF3D7_1315600,229.426623649934,0.203432304908494,0.220506135526728,0.226197613082005,0.444858036593729,Normal,GroupB
5243,PF3D7_1314900,1140.73167561636,-0.186333942348066,0.11775127992605,0.066601296966674,0.198697097163421,Normal,GroupC
5244,PF3D7_1302100,903.636250763224,-0.070295688994298,0.200987775255632,0.654045650927853,0.808437943213804,Normal,GroupD
5245,PF3D7_1301800,562.285877552973,0.825978982079534,0.298165514172012,0.000208999521018,0.002730938279451,Normal,GreopE
5246,PF3D7_1301700,14021.5899419469,-0.069052130160902,0.149161303177126,0.576848350076506,0.75476784118444,Normal,GroupA
5247,PF3D7_1300700,2.37686896946411,0.118178560107168,0.418954145899616,0.376172019166741,0.597430261502019,Normal,GroupB
5248,PF3D7_0830800,1164.23598611979,0.125015261885142,0.263329150698809,0.491484597831142,0.68978065810884,Normal,GroupC
5249,PF3D7_0828400,76.8141547517126,-0.493388924724444,0.232158711670435,0.007196348821505,0.039873647041606,Normal,GroupD
5250,PF3D7_0827900,7148.04500040229,-0.168655831710675,0.206300250613347,0.292850659565236,0.513062609448912,Normal,GreopE
5251,PF3D7_0824400,456.857408050653,-1.20395245786766,0.181216477384114,4.7631670627923E-13,9.23714183962934E-11,Down,GroupA
5252,PF3D7_0823600,112.551132025495,-0.110633263783548,0.199948020435213,0.479309582719331,0.683496621668412,Normal,GroupB
5253,PF3D7_0822500,86.2735772311172,0.125890860690666,0.197066182168142,0.416278779358797,0.632100588367654,Normal,GroupC
5254,PF3D7_0821800,3733.74341058887,-0.232549964772108,0.237524140310699,0.187150568154849,0.392972770719579,Normal,GroupD
